Algorithm,InputType,Size,ExecutionTimeNs,ExecutionTimeMs,Comparisons,MaxDepth
MergeSort, Random ,100, 18520, 0,0185, 647, 4
QuickSort, Random ,100, 40040, 0,0400, 665, 4
MergeSort, Sorted ,100, 8780, 0,0088, 244, 4
QuickSort, Sorted ,100, 8040, 0,0080, 658, 4
MergeSort, ReverseSorted ,100, 19160, 0,0192, 724, 4
QuickSort, ReverseSorted ,100, 5300, 0,0053, 614, 4
MergeSort, Duplicates ,100, 13000, 0,0130, 628, 4
QuickSort, Duplicates ,100, 5360, 0,0054, 882, 3
MergeSort, Random ,500, 25240, 0,0252, 4643, 6
QuickSort, Random ,500, 30560, 0,0306, 4789, 5
MergeSort, Sorted ,500, 11240, 0,0112, 1728, 6
QuickSort, Sorted ,500, 20360, 0,0204, 4850, 5
MergeSort, ReverseSorted ,500, 16100, 0,0161, 4900, 6
QuickSort, ReverseSorted ,500, 28680, 0,0287, 4648, 5
MergeSort, Duplicates ,500, 18860, 0,0189, 4393, 6
QuickSort, Duplicates ,500, 50140, 0,0501, 14257, 3
MergeSort, Random ,1000, 53740, 0,0537, 10330, 7
QuickSort, Random ,1000, 57660, 0,0577, 10848, 6
MergeSort, Sorted ,1000, 22140, 0,0221, 3956, 7
QuickSort, Sorted ,1000, 21400, 0,0214, 10931, 6
MergeSort, ReverseSorted ,1000, 38520, 0,0385, 10300, 7
QuickSort, ReverseSorted ,1000, 33300, 0,0333, 11408, 6
MergeSort, Duplicates ,1000, 40640, 0,0406, 9716, 7
QuickSort, Duplicates ,1000, 49980, 0,0500, 53518, 3
MergeSort, Random ,5000, 343040, 0,3430, 58576, 10
QuickSort, Random ,5000, 213600, 0,2136, 70572, 8
MergeSort, Sorted ,5000, 180240, 0,1802, 27124, 10
QuickSort, Sorted ,5000, 108260, 0,1083, 69408, 7
MergeSort, ReverseSorted ,5000, 244380, 0,2444, 44324, 10
QuickSort, ReverseSorted ,5000, 123480, 0,1235, 71521, 7
MergeSort, Duplicates ,5000, 358040, 0,3580, 55946, 10
QuickSort, Duplicates ,5000, 690460, 0,6905, 1268461, 3
MergeSort, Random ,10000, 1011360, 1,0114, 127036, 11
QuickSort, Random ,10000, 453600, 0,4536, 155322, 8
MergeSort, Sorted ,10000, 447060, 0,4471, 59248, 11
QuickSort, Sorted ,10000, 226080, 0,2261, 160397, 8
MergeSort, ReverseSorted ,10000, 483360, 0,4834, 93648, 11
QuickSort, ReverseSorted ,10000, 241960, 0,2420, 158618, 8
MergeSort, Duplicates ,10000, 488740, 0,4887, 121726, 11
QuickSort, Duplicates ,10000, 2472740, 2,4727, 5042977, 3
MergeSort, Random ,50000, 2718820, 2,7188, 769737, 13
QuickSort, Random ,50000, 2501120, 2,5011, 930714, 10
MergeSort, Sorted ,50000, 745380, 0,7454, 347008, 13
QuickSort, Sorted ,50000, 1138000, 1,1380, 934488, 10
MergeSort, ReverseSorted ,50000, 911440, 0,9114, 579408, 13
QuickSort, ReverseSorted ,50000, 1308900, 1,3089, 902136, 10
MergeSort, Duplicates ,50000, 1502640, 1,5026, 733648, 13
QuickSort, Duplicates ,50000, 57285120, 57,2851, 125207822, 3
MergeSort, Random ,100000, 5687260, 5,6873, 1639524, 14
QuickSort, Random ,100000, 5232400, 5,2324, 2031838, 10
MergeSort, Sorted ,100000, 1581980, 1,5820, 744016, 14
QuickSort, Sorted ,100000, 2333740, 2,3337, 2029593, 11
MergeSort, ReverseSorted ,100000, 1932500, 1,9325, 1208816, 14
QuickSort, ReverseSorted ,100000, 2632960, 2,6330, 2005029, 10
MergeSort, Duplicates ,100000, 3104760, 3,1048, 1561512, 14
QuickSort, Duplicates ,100000, 229933040, 229,9330, 500391747, 3
DeterministicSelector, Random,  100, 144700, 0,0289, 0, 0
DeterministicSelector, Random,  500, 617200, 0,1234, 0, 0
DeterministicSelector, Random,  1000, 246800, 0,0494, 0, 0
DeterministicSelector, Random,  5000, 995900, 0,1992, 0, 0
DeterministicSelector, Random,  10000, 6486800, 1,2974, 0, 0
DeterministicSelector, Random,  50000, 9055600, 1,8111, 0, 0
DeterministicSelector, Random,  100000, 10576900, 2,1154, 0, 0
ClosestPair, RandomPoints ,100, 3538000, 0,7076, 0, 0
ClosestPair, RandomPoints ,500, 2342000, 0,4684, 0, 0
ClosestPair, RandomPoints ,1000, 3701800, 0,7404, 0, 0
ClosestPair, RandomPoints ,5000, 22484000, 4,4968, 0, 0
ClosestPair, RandomPoints ,10000, 39443500, 7,8887, 0, 0
