Algorithm, InputType, Size, ExecutionTimeNs, ExecutionTimeMs, Comparisons, MaxDepth
MergeSort, Random, 100, 18060, 0.0181, 642, 4
QuickSort, Random, 100, 49020, 0.0490, 641, 3
MergeSort, Sorted, 100, 8780, 0.0088, 244, 4
QuickSort, Sorted, 100, 7880, 0.0079, 652, 4
MergeSort, ReverseSorted, 100, 19320, 0.0193, 724, 4
QuickSort, ReverseSorted, 100, 6040, 0.0060, 608, 3
MergeSort, Duplicates, 100, 12120, 0.0121, 624, 4
QuickSort, Duplicates, 100, 5120, 0.0051, 793, 3
MergeSort, Random, 500, 25320, 0.0253, 4633, 6
QuickSort, Random, 500, 30420, 0.0304, 4682, 5
MergeSort, Sorted, 500, 11560, 0.0116, 1728, 6
QuickSort, Sorted, 500, 19680, 0.0197, 4737, 5
MergeSort, ReverseSorted, 500, 14640, 0.0146, 4900, 6
QuickSort, ReverseSorted, 500, 23820, 0.0238, 4962, 5
MergeSort, Duplicates, 500, 20040, 0.0200, 4458, 6
QuickSort, Duplicates, 500, 49520, 0.0495, 14446, 3
MergeSort, Random, 1000, 65860, 0.0659, 10349, 7
QuickSort, Random, 1000, 54620, 0.0546, 10695, 6
MergeSort, Sorted, 1000, 29240, 0.0292, 3956, 7
QuickSort, Sorted, 1000, 23840, 0.0238, 10738, 6
MergeSort, ReverseSorted, 1000, 50820, 0.0508, 10300, 7
QuickSort, ReverseSorted, 1000, 26660, 0.0267, 10741, 6
MergeSort, Duplicates, 1000, 50460, 0.0505, 9828, 7
QuickSort, Duplicates, 1000, 58000, 0.0580, 53888, 3
MergeSort, Random, 5000, 407220, 0.4072, 58458, 10
QuickSort, Random, 5000, 234880, 0.2349, 72087, 7
MergeSort, Sorted, 5000, 196660, 0.1967, 27124, 10
QuickSort, Sorted, 5000, 127600, 0.1276, 70689, 7
MergeSort, ReverseSorted, 5000, 108920, 0.1089, 44324, 10
QuickSort, ReverseSorted, 5000, 142720, 0.1427, 70708, 8
MergeSort, Duplicates, 5000, 1171540, 1.1715, 55995, 10
QuickSort, Duplicates, 5000, 664220, 0.6642, 1270236, 3
MergeSort, Random, 10000, 869200, 0.8692, 127022, 11
QuickSort, Random, 10000, 441600, 0.4416, 155666, 8
MergeSort, Sorted, 10000, 169820, 0.1698, 59248, 11
QuickSort, Sorted, 10000, 261840, 0.2618, 155650, 8
MergeSort, ReverseSorted, 10000, 158820, 0.1588, 93648, 11
QuickSort, ReverseSorted, 10000, 232880, 0.2329, 155508, 8
MergeSort, Duplicates, 10000, 306560, 0.3066, 121534, 11
QuickSort, Duplicates, 10000, 2424140, 2.4241, 5035476, 3
MergeSort, Random, 50000, 2757700, 2.7577, 769508, 13
QuickSort, Random, 50000, 2501940, 2.5019, 942176, 10
MergeSort, Sorted, 50000, 718400, 0.7184, 347008, 13
QuickSort, Sorted, 50000, 1047880, 1.0479, 930823, 10
MergeSort, ReverseSorted, 50000, 956160, 0.9562, 579408, 13
QuickSort, ReverseSorted, 50000, 1221820, 1.2218, 917321, 10
MergeSort, Duplicates, 50000, 1526680, 1.5267, 733502, 13
QuickSort, Duplicates, 50000, 52869680, 52.8697, 125188858, 3
MergeSort, Random, 100000, 5752520, 5.7525, 1639212, 14
QuickSort, Random, 100000, 5140800, 5.1408, 1998806, 11
MergeSort, Sorted, 100000, 1583080, 1.5831, 744016, 14
QuickSort, Sorted, 100000, 2106820, 2.1068, 2076609, 10
MergeSort, ReverseSorted, 100000, 1856080, 1.8561, 1208816, 14
QuickSort, ReverseSorted, 100000, 2437180, 2.4372, 1991492, 10
MergeSort, Duplicates, 100000, 3161920, 3.1619, 1562240, 14
QuickSort, Duplicates, 100000, 214383620, 214.3836, 500393389, 3
DeterministicSelector, Random, 100, 35940, 0.0359, 0, 0
DeterministicSelector, Random, 500, 87200, 0.0872, 0, 0
DeterministicSelector, Random, 1000, 63740, 0.0637, 0, 0
DeterministicSelector, Random, 5000, 189440, 0.1894, 0, 0
DeterministicSelector, Random, 10000, 1092120, 1.0921, 0, 0
DeterministicSelector, Random, 50000, 4759060, 4.7591, 0, 0
DeterministicSelector, Random, 100000, 2143340, 2.1433, 0, 0
ClosestPair, RandomPoints, 100, 645560, 0.6456, 0, 0
ClosestPair, RandomPoints, 500, 475000, 0.4750, 0, 0
ClosestPair, RandomPoints, 1000, 608040, 0.6080, 0, 0
ClosestPair, RandomPoints, 5000, 3371980, 3.3720, 0, 0
ClosestPair, RandomPoints, 10000, 9586540, 9.5865, 0, 0
